"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 13, 2021","27.46700","28.46250","28.46250","27.46700","276.52K","-3.50%"
"Apr 12, 2021","28.46250","27.80850","29.15280","27.80850","300.43K","2.35%"
"Apr 11, 2021","27.80850","26.77770","27.80850","26.77770","341.20K","3.85%"
"Apr 10, 2021","26.77770","27.73300","27.73300","26.77770","288.76K","-3.44%"
"Apr 09, 2021","27.73300","26.99750","27.73300","26.99750","287.41K","2.72%"
"Apr 08, 2021","26.99750","26.58910","27.35810","26.58910","287.71K","1.54%"
"Apr 07, 2021","26.58910","24.99560","26.58910","24.99560","269.37K","6.38%"
"Apr 06, 2021","24.99560","22.98200","24.99560","22.98200","292.70K","8.76%"
"Apr 05, 2021","22.98200","24.00120","24.00120","22.98200","306.79K","-4.25%"
"Apr 04, 2021","24.00120","22.40060","24.00120","22.40060","291.68K","7.15%"
"Apr 03, 2021","22.40060","19.76850","22.60300","19.76850","182.65K","13.31%"
"Apr 02, 2021","19.76850","19.01020","19.76850","19.01020","286.00K","3.99%"
"Apr 01, 2021","19.01020","19.44530","19.44530","19.01020","281.12K","-2.24%"
"Mar 31, 2021","19.44530","19.20850","19.47560","19.20850","287.57K","1.23%"
"Mar 30, 2021","19.20850","18.92150","20.26990","18.92150","291.40K","1.52%"
"Mar 29, 2021","18.92150","17.97350","18.92150","17.97350","292.53K","5.27%"
"Mar 28, 2021","17.97350","16.52020","17.97350","16.52020","277.91K","8.80%"
"Mar 27, 2021","16.52020","14.75040","16.52020","14.75040","278.38K","12.00%"
"Mar 26, 2021","14.75040","12.98280","14.75040","12.98280","281.26K","13.61%"
"Mar 25, 2021","12.98280","13.57710","13.57710","12.70990","282.27K","-4.38%"
"Mar 24, 2021","13.57710","14.18290","14.62130","13.57710","278.32K","-4.27%"
"Mar 23, 2021","14.18290","14.88530","14.88530","14.18290","284.85K","-4.72%"
"Mar 22, 2021","14.88530","14.34890","15.84180","14.34890","271.38K","3.74%"
"Mar 21, 2021","14.34890","14.21030","14.34890","14.21030","281.69K","0.98%"
"Mar 20, 2021","14.21030","14.14180","14.21030","14.14180","286.56K","0.48%"
